ID Number,Date,In,Out,In,Out
102,8/1/2017,,,,
,8/2/2017,,,,
,8/3/2017,,,,
,8/4/2017,,,,
,8/5/2017,,,,
,8/6/2017,,,,
,8/7/2017,,,,
,8/8/2017,,,,
,8/9/2017,,,,
,8/10/2017,,,,
,8/11/2017,,,,
,8/12/2017,,,,
,8/13/2017,,,,
,8/14/2017,,,,
,8/15/2017,,,,
,8/16/2017,,,,
,8/17/2017,,,,
,8/18/2017,,,,
,8/19/2017,,,,
,8/20/2017,,,,
,8/21/2017,,,,
,8/22/2017,,,,
,8/23/2017,,,,
,8/24/2017,,,,
,8/25/2017,,,,
,8/26/2017,,,,
,8/27/2017,,,,
,8/28/2017,,,,
,8/29/2017,,,,
,8/30/2017,,,,
,8/31/2017,,,,
,9/1/2017,,,,
,9/2/2017,,,,
,9/3/2017,,,,
,9/4/2017,,,,
,9/5/2017,,,,
,9/6/2017,,,,
,9/7/2017,,,,
,9/8/2017,,,,
,9/9/2017,,,,
,9/10/2017,,,,
,9/11/2017,,,,
,9/12/2017,,,,
,9/13/2017,,,,
,9/14/2017,,,,
,9/15/2017,,,,
,9/16/2017,,,,
,9/17/2017,,,,
,9/18/2017,,,,
,9/19/2017,,,,
,9/20/2017,,,,
,9/21/2017,,,,
,9/22/2017,,,,
,9/23/2017,,,,
,9/24/2017,,,,
,9/25/2017,,,,
,9/26/2017,,,,
,9/27/2017,,,,
,9/28/2017,,,,
,9/29/2017,,,,
,9/30/2017,,,,
,10/1/2017,,,,
,10/2/2017,,,,
,10/3/2017,,,,
,10/4/2017,,,,
,10/5/2017,,,,
,10/6/2017,,,,
,10/7/2017,,,,
,10/8/2017,,,,
,10/9/2017,,,,
,10/10/2017,,,,
,10/11/2017,,,,
,10/12/2017,,,,
,10/13/2017,,,,
,10/14/2017,,,,
,10/15/2017,,,,
,10/16/2017,,,,
,10/17/2017,,,,
,10/18/2017,,,,
,10/19/2017,,,,
,10/20/2017,,,,
,10/21/2017,,,,
,10/22/2017,,,,
,10/23/2017,,,,
,10/24/2017,,,,
,,,,,
,10/25/2017, 7:31,15:26,,
,10/25/2017,,,,
,10/25/2017,,,,
,,,,,
,10/26/2017, 8:02,14:15,,
,10/26/2017,,,,
,10/26/2017,,,,
,,,,,
,10/27/2017, 7:43,16:06,,
,10/27/2017,,,,
,10/27/2017,,,,
,10/28/2017,,,,
,10/29/2017,,,,
,10/30/2017,,,,
,10/31/2017,,,,
40,,,,,
,8/1/2017,17:59,20:59,,
,,,,,
,8/1/2017,21:34, 2:24,,
,8/1/2017,,,,
,8/1/2017,,,,
,,,,,
,8/2/2017,17:52,21:20,,
,,,,,
,8/2/2017,21:52, 2:00,,
,8/2/2017,,,,
,8/2/2017,,,,
,,,,,
,8/3/2017,17:51,21:13,,
,,,,,
,8/3/2017,21:43, 2:25,,
,8/3/2017,,,,
,8/3/2017,,,,
,,,,,
,8/4/2017,18:00,21:32,,
,,,,,
,8/4/2017,22:18, 2:26,,
,8/4/2017,,,,
,8/4/2017,,,,
,8/4/2017,,,,
,,,,,
,8/5/2017,17:56,20:53,,
,,,,,
,8/5/2017,21:23, 2:25,,
,8/5/2017,,,,
,8/5/2017,,,,
,,,,,
,8/6/2017,17:55,21:00,,
,,,,,
,8/6/2017,21:32, 2:25,,
,8/6/2017,,,,
,8/6/2017,,,,
,8/7/2017,,,,
,8/7/2017,,,,
,,,,,
,8/8/2017,17:58,20:57,,
,,,,,
,8/8/2017,21:30, 2:03,,
,8/8/2017,,,,
,8/8/2017,,,,
,,,,,
,8/9/2017,17:51,20:31,,
,,,,,
,8/9/2017,21:06, 2:29,,
,8/9/2017,,,,
,8/9/2017,,,,
,,,,,
,8/10/2017,17:59,19:58,,
,,,,,
,8/10/2017,20:34, 2:25,,
,8/10/2017,,,,
,8/10/2017,,,,
,,,,,
,8/11/2017,17:53,21:07,,
,,,,,
,8/11/2017,21:45, 2:21,,
,8/11/2017,,,,
,8/11/2017,,,,
,8/11/2017,,,,
,,,,,
,8/12/2017,17:24,19:29,,
,,,,,
,8/12/2017,20:06, 1:58,,
,8/12/2017,,,,
,8/12/2017,,,,
,,,,,
,8/13/2017,17:08,22:29,,
,,,,,
,8/13/2017,23:03, 1:56,,
,8/13/2017,,,,
,8/13/2017,,,,
,,,,,
,8/14/2017,16:41,19:24,,
,8/14/2017,,,,
,8/14/2017,,,,
,8/15/2017,,,,
,,,,,
,8/16/2017,17:04,19:44,,
,,,,,
,8/16/2017,20:09, 1:55,,
,8/16/2017,,,,
,8/16/2017,,,,
,,,,,
,8/17/2017,17:09,20:20,,
,,,,,
,8/17/2017,20:54, 1:50,,
,8/17/2017,,,,
,8/17/2017,,,,
,,,,,
,8/18/2017,17:10,19:51,,
,,,,,
,8/18/2017,20:28, 0:00,,
,8/18/2017,,,,
,8/18/2017,,,,
,8/18/2017,,,,
,,,,,
,8/19/2017,11:30,13:42,,
,,,,,
,8/19/2017,14:14,20:02,,
,8/19/2017,,,,
,8/19/2017,,,,
,8/19/2017,,,,
,,,,,
,8/20/2017,11:26,13:26,,
,,,,,
,8/20/2017,14:02,17:45,,
,8/20/2017,,,,
,8/20/2017,,,,
,8/20/2017,,,,
,8/21/2017,,,,
,8/21/2017,,,,
,,,,,
,8/22/2017,11:32,14:07,,
,,,,,
,8/22/2017,14:39,19:29,,
,8/22/2017,,,,
,8/22/2017,,,,
,,,,,
,8/23/2017,11:23,13:13,,
,,,,,
,8/23/2017,13:47,19:54,,
,8/23/2017,,,,
,8/23/2017,,,,
,8/23/2017,,,,
,,,,,
,8/24/2017,11:29,12:56,,
,,,,,
,8/24/2017,13:39,19:28,,
,8/24/2017,,,,
,8/24/2017,,,,
,8/24/2017,,,,
,,,,,
,8/25/2017,11:20,13:31,,
,,,,,
,8/25/2017,14:06,18:02,,
,8/25/2017,,,,
,8/25/2017,,,,
,8/25/2017,,,,
,8/25/2017,,,,
,,,,,
,8/26/2017,11:27,13:46,,
,,,,,
,8/26/2017,14:16,20:01,,
,8/26/2017,,,,
